Year,Birth_year,City,SBD,maths,Literature,Physics,Chemistry,Biology,Eng
2018,2000,Da Nang,4006056,7.4,7,6.25,6,5.5,4.2
2018,2000,Da Nang,4005364,4,4.25,3.75,4.5,3,3.2
2018,2000,Da Nang,4005366,4.2,5,4,7,7,3.4
2018,2000,Da Nang,4005374,3.6,4.75,6.25,7,5,2
2018,2000,Da Nang,4006011,4.8,2.25,5.25,6.25,2.75,3.8
2018,2000,Da Nang,4006014,5,3.75,3.25,4,6.75,2.2
2018,2000,Da Nang,4006017,5,4,3.75,4.75,3.5,1.2
2018,2000,Da Nang,4004604,4,4,3.75,6,2.25,1.4
2018,2000,Da Nang,4004613,4,3.5,4.75,5.5,4,2.4
2018,2000,Da Nang,4004614,5.6,4.5,2.25,3.5,2.25,2.6
2018,2000,Da Nang,4004617,4.2,3.25,1.5,2.25,4.25,2
2018,2000,Da Nang,4005084,2.8,3.75,3.25,3.75,2.5,1.4
2018,2000,Da Nang,4005099,4.4,3.5,2.75,4.25,3.75,3
2018,2000,Da Nang,4005120,4,2.5,2.5,2.75,3.5,2.4
2018,2000,Da Nang,4004901,5.2,5,2.75,2.5,3.5,2.2
2018,2000,Da Nang,4004905,2.6,4.5,2.25,4.25,5.5,2.8
2018,2000,Da Nang,4004914,4.4,5.75,2.25,3.5,5,2.6
2018,2000,Da Nang,4004918,7.6,7.25,4.25,4.5,4.5,3.6
2018,2000,Da Nang,4004948,4.6,1.75,2.25,3,4.25,2.8
2018,2000,Da Nang,4004943,3.2,1.75,2.5,4.25,3.25,2.8
2018,2000,Da Nang,4004923,6.8,6,7,7.75,4.25,6.6
2018,2000,Da Nang,4004953,5.8,6.5,2.75,3,3.25,2.6
2018,2000,Da Nang,4004978,3.8,3.25,2.25,3.25,2.25,2.4
2018,2000,Da Nang,4004955,3.8,3,2.25,3.75,3,2.6
2018,2000,Da Nang,4005954,5.4,5,3.5,4.25,2.5,6.2
2018,2000,Da Nang,4005161,3.6,3.25,2.5,3.25,3.25,3
2018,2000,Da Nang,4005163,4.2,4.5,3.25,3.5,4.5,1.8
2018,2000,Da Nang,4005165,3.6,5,4.5,4.25,4,2.6
2018,2000,Da Nang,4006042,5.8,3.25,5.5,6,4.5,5.8
2018,2000,Da Nang,4006045,7.2,6.5,6.25,4.75,2.25,5
2018,2000,Da Nang,4006047,7.4,6,6.25,4.75,2.5,2
2018,2000,Da Nang,4005586,5,4.75,5,4.75,4.5,4.6
2018,2000,Da Nang,4005616,8.4,6,4.5,6.75,6.75,8
2018,2000,Da Nang,4005618,5.8,5,7,8,5.5,3.4
2018,2000,Da Nang,4005620,6.4,5.5,7,6.75,3,4.8
2018,2000,Da Nang,4005622,6.8,5.5,7.75,6.75,5.5,2.8
2018,2000,Da Nang,4005630,6.2,4,3,4.75,5,1.8
2018,2000,Da Nang,4005632,3.6,7,5.5,4,4.5,2.2
2018,2000,Da Nang,4005634,6.6,5.5,4,7,7,5
2018,2000,Da Nang,4005636,6.6,5,4,4.5,4,3.2
2018,2000,Da Nang,4005638,5.2,6,4,3.5,4.5,3.6
2018,2000,Da Nang,4005624,5.8,5.25,6.75,6.25,4.5,3.2
2018,2000,Da Nang,4004791,2.4,4,3.75,4.25,2.25,3.6
2018,2000,Da Nang,4004794,3.4,3.5,4.25,5.25,2.75,2
2018,2000,Da Nang,4004797,5.2,4.25,5,5.25,4.5,3.2
2018,2000,Da Nang,4004668,5.6,4.5,3.75,4.25,5.5,3.8
2018,2000,Da Nang,4004682,2.8,3.5,3.25,3,4,2.2
2018,2000,Da Nang,4005223,2.6,2.5,2.25,3.25,3.75,3.2
2018,2000,Da Nang,4005563,5.6,6.5,2.5,3.5,2.75,3.2
2018,2000,Da Nang,4005002,7.2,5.25,1,1,4.5,4.6
2018,2000,Da Nang,4005726,6.4,5.75,2.75,3.25,3,4.4
2018,2000,Da Nang,4005746,5.6,4.75,3,5,3,3.8
2018,2000,Da Nang,4005749,6.2,6.75,6,5,3.25,6.4
2018,2000,Da Nang,4005751,5.4,7,5,4.25,3,5.2
2018,2000,Da Nang,4005754,5.8,2.5,4.5,3,5,2.6
